iter	Logloss
0	0.6653046132
1	0.637732536
2	0.614508245
3	0.5948916139
4	0.5720703183
5	0.551876108
6	0.5292296904
7	0.5059439158
8	0.4874203786
9	0.4694316204
10	0.4522989045
11	0.4355184991
12	0.4164237324
13	0.4028491465
14	0.3904896381
15	0.3760795965
16	0.3604015156
17	0.3493541417
18	0.3375525139
19	0.3236984224
20	0.3110530756
21	0.3009537666
22	0.2914620357
23	0.2820021502
24	0.2710657465
25	0.2623368763
26	0.2526505923
27	0.243613041
28	0.2365791726
29	0.2284536377
30	0.2223607457
31	0.2167642947
32	0.2096699146
33	0.2039935265
34	0.1964555028
35	0.1899352862
36	0.1829835028
37	0.1771999374
38	0.1726413835
39	0.1665505041
40	0.1613908218
41	0.1557665452
42	0.1509233731
43	0.1468486213
44	0.1431106669
45	0.1394578442
46	0.1362156337
47	0.1325273133
48	0.1283544084
49	0.1244138975
50	0.12127736
