iter	Passed	Remaining
0	4	741
1	10	911
2	21	1320
3	26	1194
4	35	1275
5	46	1390
6	51	1298
7	53	1187
8	57	1122
9	63	1102
10	68	1074
11	79	1138
12	85	1124
13	95	1157
14	98	1107
15	102	1072
16	106	1047
17	110	1014
18	120	1043
19	124	1021
20	127	992
21	131	967
22	142	1000
23	152	1014
24	155	990
25	158	963
26	161	939
27	165	920
28	172	921
29	184	948
30	188	930
31	199	948
32	211	965
33	215	951
34	219	935
35	224	922
36	230	916
37	238	917
38	251	934
39	262	944
40	266	928
41	269	911
42	273	897
43	284	903
44	293	905
45	305	915
46	317	926
47	322	913
48	325	896
49	329	882
50	335	874
